date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-05-01,104.95,-0.05,2023-05-01 14:00:00,107.8,-0.07,2023-05-01 13:30:00,109.02,-0.08,2023-05-01 13:30:00,91
2023-05-02,104.7,-0.05,2023-05-02 07:45:00,105.98,-0.06,2023-05-02 07:00:00,107.06,-0.07,2023-05-02 07:00:00,91
2023-05-03,102.52,-0.02,2023-05-03 22:30:00,105.12,-0.05,2023-05-03 21:45:00,106.35,-0.06,2023-05-03 10:30:00,91
2023-05-04,102.01,-0.02,2023-05-04 16:00:00,103.69,-0.04,2023-05-04 15:00:00,104.11,-0.04,2023-05-04 14:00:00,91
2023-05-05,102.18,-0.02,2023-05-05 06:45:00,103.38,-0.03,2023-05-05 06:15:00,104.45,-0.04,2023-05-05 06:15:00,91
2023-05-06,105.49,-0.05,2023-05-06 20:45:00,106.67,-0.06,2023-05-06 20:15:00,106.61,-0.06,2023-05-06 20:45:00,91
2023-05-07,97.19,0.03,2023-05-07 19:15:00,100.48,-0.0,2023-05-07 18:15:00,101.03,-0.01,2023-05-07 17:00:00,91
2023-05-08,105.87,-0.06,2023-05-08 16:45:00,106.82,-0.06,2023-05-08 15:30:00,107.13,-0.07,2023-05-08 15:00:00,91
2023-05-09,99.24,0.01,2023-05-09 08:15:00,99.48,0.01,2023-05-09 07:15:00,100.07,-0.0,2023-05-09 07:00:00,91
2023-05-10,92.95,0.08,2023-05-10 07:30:00,94.95,0.05,2023-05-10 07:30:00,95.95,0.04,2023-05-10 07:30:00,91
2023-05-11,96.43,0.04,2023-05-11 08:30:00,99.85,0.0,2023-05-11 08:00:00,101.4,-0.01,2023-05-11 07:00:00,91
2023-05-12,102.39,-0.02,2023-05-12 16:00:00,102.64,-0.03,2023-05-12 10:30:00,103.22,-0.03,2023-05-12 10:00:00,91
2023-05-13,101.38,-0.01,2023-05-13 19:00:00,102.62,-0.03,2023-05-13 19:15:00,103.08,-0.03,2023-05-13 18:15:00,91
2023-05-14,103.27,-0.03,2023-05-14 17:15:00,105.94,-0.06,2023-05-14 19:45:00,106.29,-0.06,2023-05-14 17:15:00,91
2023-05-15,98.28,0.02,2023-05-15 16:45:00,99.29,0.01,2023-05-15 16:45:00,100.34,-0.0,2023-05-15 16:00:00,91
2023-05-16,98.74,0.01,2023-05-16 08:00:00,102.03,-0.02,2023-05-16 07:00:00,103.98,-0.04,2023-05-16 06:45:00,91
2023-05-17,102.01,-0.02,2023-05-17 12:30:00,103.04,-0.03,2023-05-17 11:15:00,103.23,-0.03,2023-05-17 10:00:00,91
2023-05-18,104.78,-0.05,2023-05-18 11:00:00,105.54,-0.05,2023-05-18 11:00:00,106.18,-0.06,2023-05-18 11:00:00,91
2023-05-19,104.99,-0.05,2023-05-19 10:00:00,106.8,-0.06,2023-05-19 10:15:00,106.82,-0.06,2023-05-19 10:30:00,91
2023-05-20,42.79,1.35,2023-05-20 11:15:00,74.01,0.35,2023-05-20 10:15:00,84.59,0.18,2023-05-20 11:00:00,91
2023-05-21,105.29,-0.05,2023-05-21 11:45:00,106.33,-0.06,2023-05-21 19:15:00,106.74,-0.06,2023-05-21 18:15:00,91
2023-05-22,80.62,0.24,2023-05-22 21:15:00,93.98,0.06,2023-05-22 21:15:00,98.91,0.01,2023-05-22 21:00:00,91
2023-05-23,98.62,0.01,2023-05-23 07:30:00,100.0,-0.0,2023-05-23 22:00:00,101.34,-0.01,2023-05-23 07:30:00,91
2023-05-24,92.62,0.08,2023-05-24 01:00:00,96.31,0.04,2023-05-24 01:00:00,97.54,0.03,2023-05-24 01:00:00,91
2023-05-25,84.9,0.18,2023-05-25 10:15:00,94.34,0.06,2023-05-25 09:15:00,96.81,0.03,2023-05-25 08:30:00,91
2023-05-26,82.51,0.21,2023-05-26 09:45:00,93.33,0.07,2023-05-26 08:45:00,97.11,0.03,2023-05-26 08:45:00,91
2023-05-27,81.63,0.23,2023-05-27 20:45:00,93.69,0.07,2023-05-27 20:00:00,97.85,0.02,2023-05-27 19:00:00,91
2023-05-28,102.43,-0.02,2023-05-28 22:00:00,103.38,-0.03,2023-05-28 10:00:00,104.04,-0.04,2023-05-28 20:00:00,91
2023-05-29,104.19,-0.04,2023-05-29 14:15:00,105.79,-0.06,2023-05-29 13:45:00,106.43,-0.06,2023-05-29 12:00:00,91
2023-05-30,71.27,0.41,2023-05-30 11:15:00,87.92,0.14,2023-05-30 11:00:00,93.43,0.07,2023-05-30 09:15:00,91
2023-05-31,98.03,0.02,2023-05-31 22:45:00,99.43,0.01,2023-05-31 22:00:00,102.25,-0.02,2023-05-31 21:00:00,91
2023-06-01,87.33,0.15,2023-06-01 08:45:00,96.2,0.04,2023-06-01 07:45:00,98.76,0.01,2023-06-01 07:00:00,91
2023-06-02,100.8,-0.01,2023-06-02 07:30:00,101.41,-0.01,2023-06-02 07:15:00,101.79,-0.02,2023-06-02 07:15:00,91
2023-06-03,99.08,0.01,2023-06-03 18:45:00,100.5,-0.01,2023-06-03 18:15:00,101.89,-0.02,2023-06-03 17:30:00,91
2023-06-04,70.3,0.43,2023-06-04 17:30:00,87.4,0.15,2023-06-04 17:30:00,93.04,0.08,2023-06-04 17:30:00,91
2023-06-05,79.24,0.26,2023-06-05 08:00:00,89.3,0.12,2023-06-05 07:00:00,95.74,0.04,2023-06-05 06:15:00,91
2023-06-06,47.19,1.13,2023-06-06 08:45:00,70.95,0.41,2023-06-06 08:15:00,80.98,0.24,2023-06-06 07:15:00,91
2023-06-07,100.38,-0.0,2023-06-07 08:15:00,102.24,-0.02,2023-06-07 07:15:00,103.98,-0.04,2023-06-07 08:00:00,91
2023-06-08,81.42,0.23,2023-06-08 08:45:00,92.41,0.08,2023-06-08 08:15:00,96.59,0.04,2023-06-08 08:00:00,91
2023-06-09,100.76,-0.01,2023-06-09 07:00:00,103.9,-0.04,2023-06-09 07:00:00,105.52,-0.05,2023-06-09 21:00:00,91
2023-06-10,99.71,0.0,2023-06-10 11:45:00,101.87,-0.02,2023-06-10 10:30:00,102.92,-0.03,2023-06-10 09:45:00,91
2023-06-11,85.36,0.17,2023-06-11 20:45:00,94.25,0.06,2023-06-11 20:30:00,98.98,0.01,2023-06-11 19:45:00,91
2023-06-12,99.16,0.01,2023-06-12 07:00:00,101.28,-0.01,2023-06-12 07:00:00,101.01,-0.01,2023-06-12 07:00:00,91
2023-06-13,97.57,0.03,2023-06-13 07:15:00,100.63,-0.01,2023-06-13 07:00:00,103.61,-0.04,2023-06-13 06:30:00,91
