date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-03-17,15.39,5.53,2023-03-17 17:00:00,18.79,4.35,2023-03-17 16:00:00,19.37,4.19,2023-03-17 16:30:00,97
2023-03-18,38.46,1.61,2023-03-18 15:15:00,45.05,1.23,2023-03-18 18:30:00,56.28,0.78,2023-03-18 18:00:00,97
2023-03-19,14.56,5.91,2023-03-19 20:00:00,24.31,3.13,2023-03-19 19:00:00,30.91,2.25,2023-03-19 18:00:00,97
2023-03-20,17.53,4.73,2023-03-20 12:45:00,26.2,2.84,2023-03-20 16:30:00,27.0,2.72,2023-03-20 15:45:00,97
2023-03-21,16.44,5.12,2023-03-21 16:45:00,20.05,4.01,2023-03-21 16:15:00,20.54,3.89,2023-03-21 16:30:00,97
2023-03-22,14.22,6.07,2023-03-22 20:30:00,21.02,3.78,2023-03-22 17:00:00,22.13,3.54,2023-03-22 16:30:00,97
2023-03-23,18.96,4.3,2023-03-23 16:15:00,23.03,3.36,2023-03-23 16:15:00,25.24,2.98,2023-03-23 16:00:00,97
2023-03-24,19.42,4.18,2023-03-24 17:30:00,21.06,3.77,2023-03-24 16:45:00,22.18,3.53,2023-03-24 15:30:00,97
2023-03-25,50.63,0.98,2023-03-25 18:30:00,75.4,0.33,2023-03-25 18:15:00,86.28,0.16,2023-03-25 17:30:00,97
2023-03-26,100.0,0.0,2023-03-26 02:00:00,105.08,-0.05,2023-03-26 01:00:00,105.7,-0.05,2023-03-26 00:00:00,97
2023-03-27,23.99,3.19,2023-03-27 16:45:00,25.5,2.94,2023-03-27 16:45:00,26.61,2.78,2023-03-27 16:15:00,97
2023-03-28,23.7,3.24,2023-03-28 17:45:00,26.53,2.79,2023-03-28 17:00:00,29.74,2.38,2023-03-28 17:00:00,97
2023-03-29,16.69,5.02,2023-03-29 18:00:00,18.06,4.57,2023-03-29 17:00:00,20.13,3.99,2023-03-29 16:45:00,97
2023-03-30,17.74,4.67,2023-03-30 17:15:00,19.44,4.17,2023-03-30 16:45:00,20.22,3.97,2023-03-30 16:30:00,97
2023-03-31,18.46,4.45,2023-03-31 15:15:00,20.51,3.9,2023-03-31 15:30:00,21.53,3.67,2023-03-31 14:30:00,97
2023-04-01,46.98,1.14,2023-04-01 19:30:00,59.58,0.68,2023-04-01 18:45:00,69.53,0.44,2023-04-01 14:00:00,97
