date_jour,cp1,Dp1,HEURE_POINTE_1H,cp2,Dp2,HEURE_POINTE_2H,cp3,Dp3,HEURE_POINTE_3H,LENGTH
2023-05-25,91.7,0.07,2023-05-25 22:15:00,93.86,0.05,2023-05-25 10:30:00,94.83,0.04,2023-05-25 09:45:00,115
2023-05-26,90.84,0.08,2023-05-26 02:00:00,93.16,0.06,2023-05-26 00:30:00,94.92,0.04,2023-05-26 00:00:00,115
2023-05-27,91.39,0.08,2023-05-27 03:45:00,96.62,0.03,2023-05-27 11:00:00,98.79,0.01,2023-05-27 05:30:00,115
2023-05-28,96.95,0.03,2023-05-28 02:00:00,102.76,-0.02,2023-05-28 01:30:00,103.97,-0.03,2023-05-28 02:15:00,115
2023-05-29,99.49,0.0,2023-05-29 05:00:00,104.54,-0.04,2023-05-29 02:45:00,103.86,-0.03,2023-05-29 03:00:00,115
2023-05-30,90.84,0.08,2023-05-30 01:00:00,92.88,0.06,2023-05-30 00:00:00,95.0,0.04,2023-05-30 00:00:00,115
2023-05-31,93.14,0.06,2023-05-31 18:15:00,96.57,0.03,2023-05-31 09:15:00,97.2,0.02,2023-05-31 10:15:00,115
2023-06-01,92.52,0.07,2023-06-01 15:00:00,94.41,0.05,2023-06-01 14:45:00,95.46,0.04,2023-06-01 13:45:00,115
2023-06-02,92.97,0.06,2023-06-02 12:00:00,94.72,0.05,2023-06-02 12:00:00,95.68,0.04,2023-06-02 07:00:00,115
2023-06-03,82.75,0.17,2023-06-03 02:15:00,86.3,0.13,2023-06-03 01:30:00,86.87,0.12,2023-06-03 02:15:00,115
2023-06-04,98.87,0.01,2023-06-04 03:45:00,102.66,-0.02,2023-06-04 03:45:00,104.55,-0.04,2023-06-04 16:45:00,115
2023-06-05,86.52,0.13,2023-06-05 10:15:00,91.79,0.07,2023-06-05 09:45:00,91.92,0.07,2023-06-05 08:30:00,115
2023-06-06,63.96,0.46,2023-06-06 14:45:00,78.55,0.22,2023-06-06 13:15:00,84.66,0.15,2023-06-06 13:15:00,115
2023-06-07,93.04,0.06,2023-06-07 07:30:00,94.32,0.05,2023-06-07 06:30:00,94.74,0.05,2023-06-07 11:30:00,115
2023-06-08,89.64,0.1,2023-06-08 13:45:00,92.66,0.07,2023-06-08 13:45:00,93.14,0.06,2023-06-08 13:15:00,115
2023-06-09,93.59,0.06,2023-06-09 10:00:00,95.94,0.03,2023-06-09 13:30:00,96.4,0.03,2023-06-09 08:00:00,115
2023-06-10,96.43,0.03,2023-06-10 10:00:00,98.8,0.01,2023-06-10 10:00:00,100.49,-0.0,2023-06-10 17:15:00,115
2023-06-11,78.26,0.23,2023-06-11 21:00:00,88.37,0.11,2023-06-11 20:30:00,94.8,0.05,2023-06-11 20:45:00,115
2023-06-12,89.95,0.09,2023-06-12 11:45:00,91.22,0.08,2023-06-12 11:15:00,92.57,0.07,2023-06-12 10:00:00,115
2023-06-13,92.66,0.07,2023-06-13 08:45:00,93.98,0.05,2023-06-13 08:15:00,94.11,0.05,2023-06-13 06:30:00,115
2023-06-14,93.0,0.06,2023-06-14 09:15:00,94.89,0.04,2023-06-14 08:30:00,95.67,0.04,2023-06-14 07:15:00,115
2023-06-15,91.5,0.08,2023-06-15 07:00:00,92.49,0.07,2023-06-15 07:00:00,92.54,0.07,2023-06-15 06:30:00,115
2023-06-16,92.73,0.06,2023-06-16 08:15:00,94.58,0.05,2023-06-16 07:15:00,95.24,0.04,2023-06-16 06:30:00,115
2023-06-17,94.1,0.05,2023-06-17 22:30:00,96.64,0.03,2023-06-17 04:00:00,100.53,-0.0,2023-06-17 04:15:00,115
2023-06-18,93.62,0.06,2023-06-18 18:45:00,94.98,0.04,2023-06-18 18:45:00,96.54,0.03,2023-06-18 18:30:00,115
2023-06-19,91.87,0.07,2023-06-19 10:15:00,94.44,0.05,2023-06-19 09:30:00,94.55,0.05,2023-06-19 08:30:00,115
2023-06-20,91.46,0.08,2023-06-20 07:00:00,93.52,0.06,2023-06-20 06:00:00,93.32,0.06,2023-06-20 06:45:00,115
2023-06-21,85.43,0.14,2023-06-21 16:00:00,91.15,0.08,2023-06-21 15:30:00,93.23,0.06,2023-06-21 14:45:00,115
2023-06-22,80.01,0.21,2023-06-22 09:30:00,82.46,0.18,2023-06-22 08:30:00,84.45,0.15,2023-06-22 08:00:00,115
2023-06-23,88.0,0.11,2023-06-23 08:45:00,91.96,0.07,2023-06-23 08:45:00,92.27,0.07,2023-06-23 08:45:00,115
2023-06-24,93.18,0.06,2023-06-24 00:00:00,95.28,0.04,2023-06-24 11:30:00,97.07,0.02,2023-06-24 10:30:00,115
2023-06-25,90.33,0.09,2023-06-25 04:00:00,95.27,0.04,2023-06-25 02:45:00,98.88,0.01,2023-06-25 02:30:00,115
2023-06-26,80.62,0.2,2023-06-26 02:30:00,92.3,0.07,2023-06-26 08:00:00,94.44,0.05,2023-06-26 07:15:00,115
2023-06-27,92.42,0.07,2023-06-27 16:00:00,93.72,0.06,2023-06-27 15:00:00,96.3,0.03,2023-06-27 14:00:00,115
2023-06-28,92.46,0.07,2023-06-28 10:15:00,96.31,0.03,2023-06-28 09:30:00,96.9,0.03,2023-06-28 14:45:00,115
2023-06-29,68.62,0.38,2023-06-29 16:00:00,81.57,0.19,2023-06-29 16:15:00,86.39,0.13,2023-06-29 15:15:00,115
2023-06-30,88.92,0.1,2023-06-30 17:30:00,93.9,0.05,2023-06-30 07:45:00,94.03,0.05,2023-06-30 06:45:00,115
